"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1893918865152741621","Mon Feb 24 07:00:19 +0000 2025","359"," 4 Principios esenciales para la visualización de datos y 10 errores que debes evitar Guarda este post para futuras referencias. #DataViz #Storytelling #Analytics #DataScience #BigData #Visualization #Statistics #stats https://t.co/Wd1wub3Z8V","1893918865152741621","https://pbs.twimg.com/media/GkiNKkoXoAAQQQH.jpg","","es","España","0","2","85","https://x.com/RosanaFerrero/status/1893918865152741621","1328949324","RosanaFerrero"
"1892959668458156298","Fri Feb 21 15:28:49 +0000 2025","66584","BREAKING: Apple surrenders to the Labour government and removes highest level data security tool for Apple users The government now has access to its citizens messages and camera roll. This is the biggest breach of privacy Western civilisation has ever seen. Britain is in https://t.co/pZmamDjw7O","1892959668458156298","https://pbs.twimg.com/media/GkUkwG3WEAAIaH7.jpg","","en","The West","4401","8085","23189","https://x.com/Inevitablewest/status/1892959668458156298","1849500209488752640","Inevitablewest"
"1892499468609601678","Thu Feb 20 09:00:08 +0000 2025","27"," The future of entrepreneurship is here! The world is becoming increasingly aware of the challenges posed by the corporatization of the internet. While big tech companies offer convenience and speed they also centralize power leveraging user data and relationships to https://t.co/FqYhlzw3X4","1892499468609601678","https://pbs.twimg.com/media/GkOCPInWcAACljt.jpg","","en","Berlin, Germany","2","6","3","https://x.com/icphub_DE/status/1892499468609601678","1688252222323179520","icphub_DE"
"1892911720546378094","Fri Feb 21 12:18:17 +0000 2025","786"," NEXT 100X GEM? I just found an undervalued project with insane potential! $CDD is revolutionizing on-chain data &amp; AI-powered trading giving pro traders the edge they need! Big moves coming Don t miss this one! Buy CDD Token on LBANK https://t.co/T1HBWlHZB9 https://t.co/OFnrM6yndX","1892911720546378094","https://pbs.twimg.com/media/GkT5KxHXMAEVeMw.jpg","","en","","1","56","209","https://x.com/chrisleao/status/1892911720546378094","106170902","chrisleao"
"1892911379474002129","Fri Feb 21 12:16:56 +0000 2025","785"," NEXT 100X GEM? I just found an undervalued project with insane potential! $CDD is revolutionizing on-chain data &amp; AI-powered trading giving pro traders the edge they need! Big moves coming Don t miss this one! Buy CDD Token on LBANK https://t.co/7HROBdBGMG https://t.co/btJqERYHuK","1892911379474002129","https://pbs.twimg.com/media/GkT43VHXIAAOqxk.jpg","","en","Buenos Aires, Argentina.","0","46","216","https://x.com/adabelguerrero/status/1892911379474002129","130948068","adabelguerrero"
"1893000334240293167","Fri Feb 21 18:10:24 +0000 2025","3908","After the Snowden reporting revealed widespread cooperation by Big Tech to turn over user data to NSA with no warrants they made end-to-end encryption widely available to reassure users' privacy. The UK just forced Apple to disable its highest level giving UK backdoor access.","1893000334240293167","","","en","GlennGreenwald@gmail.com","37","103","1032","https://x.com/ggreenwald/status/1893000334240293167","16076032","ggreenwald"
"1893911015550861727","Mon Feb 24 06:29:07 +0000 2025","66","The future of robotics is here and it moves just like us. Robots are learning human movements from human data NVIDIA just cracked one of the biggest challenges in robotics: making humanoid robots move like real athletes! Here s what it does: 1. Replicates Human Motion With https://t.co/ynKDwlwmuR","1893911015550861727","https://pbs.twimg.com/amplify_video_thumb/1893910984969867264/img/jV5UVSePNDCQkm7U.jpg","","en","Join 30K readers","1","14","9","https://x.com/CodeByPoonam/status/1893911015550861727","1437853146257133569","CodeByPoonam"
"1892249337322688546","Wed Feb 19 16:26:12 +0000 2025","114","Top Springer Books in Machine Learning to Read. #BigData #Analytics #DataScience #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Books #Programming #Coding #100DaysofCode https://t.co/CaVVpXURrj https://t.co/OHnR1Em2x1","1892249337322688546","https://pbs.twimg.com/media/GkKbsawWQAAy15G.jpg","","en","Redondo Beach, CA","0","1","5","https://x.com/gp_pulipaka/status/1892249337322688546","4263007693","gp_pulipaka"
"1892908788371304621","Fri Feb 21 12:06:38 +0000 2025","1623"," THE NEXT BIG THING IN CRYPTO! Smart money is already paying attention! $CDD combines AI + On-Chain Data + Institutional Insights to give traders the ultimate edge! Don t sleep on this game-changer! Buy CDD Token on LBANK https://t.co/VoLReKbE0b #Bitcoin #BTC https://t.co/n8avdcSUoA","1892908788371304621","https://pbs.twimg.com/media/GkT2gcpWQAA_mTq.jpg","","en","","0","118","326","https://x.com/cokiramirez/status/1892908788371304621","174734513","cokiramirez"
"1892083317933289767","Wed Feb 19 05:26:30 +0000 2025","6","Using Spatial Information to Identify Recent Explosion of Volcanoes with Deep Learning! #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #Python #RStats #TensorFlow #JavaScript #ReactJS #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding https://t.co/Odo7fJAqTQ","1892083317933289767","https://pbs.twimg.com/media/GkH_ohHWEAAak4U.jpg","","en","Redondo Beach, CA","0","1","6","https://x.com/gp_pulipaka/status/1892083317933289767","4263007693","gp_pulipaka"
